نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",لیگ های حرفه ای بازی سازی,6000000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پایتون مقدماتی و پیشرفته,5100000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",ساخت اپلیکیشن  با پایتون,5700000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پرامپت نویسی و راستی آزمایی Al,6000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",iCDL1(windows-Word-Power point-internet),6800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",اکسل,5100000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",تولید محتوا با موبایل,5500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",هوش مصنوعی,7200000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",لیگ های حرفه ای بازی سازی,6000000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",حسابداری ویژه بازار کار,7600000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",پایتون,12700000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",افترافکت,8100000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",ICDL 1,6800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",فوتوشاپ,6800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",دوره کاربردی مدیر شبکه,6800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مجتمع آموزشی متاکو 15 درصد
(شماره تماس : 03136683290)
آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای",هوش مصنوعی,15300000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",برق خودرو,1000000 تا 1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",ECU,1000000 تا 1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",PLC,1000000 تا 1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",مکانیک خودرو,1000000 تا 1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",تعمیرات موبایل,1000000 تا 1500000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",برق خودرو,1000000 تا 1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",ECU,1000000 تا 1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",PLC,1000000 تا 1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",مکانیک خودرو,1000000 تا 1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"اداره کل آموزش فنی و حرفه ای اصفهان
آدرس : خیابان هزار جریب خیابان کارگر",تعمیرات موبایل,1000000 تا 1500000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تعمیرات لوازم خانگی(یخچال،لباسشویی،ظرفشویی),8840000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",پنل خورشیدی,10540000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",پمپ و منبع آب,10540000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تصفیه آب خانگی و نیمه صنعتی,8840000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تعمیرات بردهای الکترونیکی,8840000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",نعمیر کولر گازی و اسپلیت,10540000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تعمیرات لوازم خانگی(یخچال،لباسشویی،ظرفشویی),8840000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",پنل خورشیدی,10540000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",پمپ و منبع آب,10540000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تصفیه آب خانگی و نیمه صنعتی,8840000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",تعمیرات بردهای الکترونیکی,8840000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"تاسیسات گستران  15 درصد 
آدرس : چهارراه  رزمندگان  تلفن 09136002610
سه راه سیمین تلفن 09135551215",نعمیر کولر گازی و اسپلیت,10540000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590)
آدرس : خیابان میر جنب آسمان هفتم",رباتیک,4800000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590)
آدرس : خیابان میر جنب آسمان هفتم",رباتیک,4800000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590)
آدرس : خیابان میر جنب آسمان هفتم",رباتیک,4800000 تومان,15-16-17-18,متوسطه 2(15 تا 18 سال)
"مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590)
آدرس : خیابان میر جنب آسمان هفتم",رباتیک,4800000 تومان,19-...,بزرگسالان ( فرزندان-18 سال به بالا)
"آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200)
آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا",الکترونیک ربات,4000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200)
آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا",قطعه شناسی,4300000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200)
آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا",قطعه شناسی,4300000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200)
آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا",برنامه نویسی اینوبات و پایتون,4900000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
"آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200)
آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا",نرم افزار آلتیوم دیزاینر,5200000 تومان,12-13-14-15,متوسطه 1(12 تا 15 سال)
